song_title,song_id,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
BTB,2ejGSIDLEBoniM8SfkjHLi,Balming Tiger,34,0.499,0.796,1,-7.352,1,0.171,0.15,1.9e-05,0.608,0.451,92.415,188997,4
Buriburi,67jY28XGWZzr5YaOju8AIL,Balming Tiger,47,0.59,0.733,9,-6.319,1,0.053,0.00205,0.000502,0.748,0.9,75.05,220071,4
Bodycoke,2mDF18iNsQ2Hp6gXQewqJG,Balming Tiger,36,0.845,0.624,4,-7.936,0,0.0964,0.0249,0.0207,0.0666,0.69,95.014,192112,4
Big Pussy,2l7IXXGf3d9lcBsDBDQkx9,BROCKHAMPTON,38,0.599,0.793,11,-8.326,0,0.403,0.446,0.0,0.441,0.808,93.691,140600,4
파리,1cl9P7BaQk7z4eFBEQQC7X,Mudd the student,12,0.752,0.797,2,-7.88,1,0.0663,0.0657,0.0,0.16,0.864,109.91,109091,4
Rapp Snitch Knishes feat. Mr. Fantastik,5KUNwkaNf8l5A9sXZhiCgI,MF DOOM,79,0.728,0.832,7,-6.827,1,0.267,0.327,0.0,0.504,0.825,95.051,172893,4
MICHUUL.,3iGNoYKIabGohB9A0C7dKU,Duckwrth,57,0.846,0.681,1,-6.172,1,0.144,0.384,1.02e-05,0.185,0.696,117.978,186200,4
CORSO,46oHvXwpEZOFX518we1nJD,"Tyler, The Creator",65,0.703,0.845,10,-4.851,0,0.337,0.169,0.0,0.122,0.745,97.672,146482,4
DOGTOOTH,6OfOzTitafSnsaunQLuNFw,"Tyler, The Creator",75,0.706,0.648,8,-6.348,1,0.324,0.505,0.0,0.215,0.802,77.533,161041,4
SILVER TOOTH. (with A$AP Ferg),5Xb9LkVG98JiLorzV9O56r,"Armani White, A$AP Ferg",64,0.958,0.802,1,-5.799,1,0.239,0.15,0.0,0.041,0.854,103.013,142560,4
GOATED. (feat. Denzel Curry),5FV8BuXQV61vNORagEvCqe,"Armani White, Denzel Curry",56,0.946,0.484,0,-7.833,1,0.164,0.0116,4.15e-06,0.333,0.437,123.058,197387,4
HAZARD DUTY PAY!,5dLz8bhINeCWgppiUIcafp,JPEGMAFIA,61,0.609,0.952,8,0.919,1,0.169,0.0387,0.0,0.182,0.556,121.707,157169,4
WHAT KINDA RAPPIN' IS THIS? - OFFLINE,3x1BtwpOBgsXVPHG6nSkpm,JPEGMAFIA,46,0.345,0.839,1,-2.81,1,0.337,0.364,0.0174,0.0933,0.361,136.592,189422,4
Patrisse Cullors Stole My Lunch Money,73PrkuaabjArxQWzRRslIh,Ghais Guevara,32,0.389,0.893,11,-6.289,0,0.284,0.442,0.0,0.349,0.528,102.341,231308,3
One Meal A Day Type Beat,2tKxOz59ENUdzuHufvTaMd,Ghais Guevara,34,0.691,0.591,1,-12.811,1,0.276,0.065,0.0,0.258,0.439,111.877,153341,4
Prison Riot,5s9DXZ4xQpHPYmmJnRk5KR,Ghais Guevara,38,0.645,0.642,1,-9.081,1,0.0435,0.177,0.0,0.124,0.167,103.0,160510,4
World Champ,4VIznE5GISZrFlTxFNE7Pc,Marlon Craft,66,0.516,0.565,1,-6.77,1,0.207,0.147,0.000285,0.313,0.721,178.177,146954,3
Accordion,67vrmPygrZ9giGqHUSReAT,"Madvillain, Madlib, MF DOOM",66,0.578,0.631,9,-6.518,0,0.309,0.0243,0.0,0.0665,0.716,96.332,118853,4
Alright,3iVcZ5G6tvkXZkZKlMpIUs,Kendrick Lamar,83,0.796,0.766,7,-5.974,1,0.238,0.0742,0.0,0.0827,0.558,110.034,219333,4
King Kunta,0N3W5peJUQtI4eyR6GJT5O,Kendrick Lamar,77,0.884,0.657,6,-4.569,0,0.0977,0.00589,0.0,0.154,0.489,107.059,234693,4
i,3ODXRUPL44f04cCacwiCLC,Kendrick Lamar,66,0.541,0.809,8,-4.286,1,0.324,0.708,0.0,0.72,0.753,120.094,336013,4
Wesley's Theory,7Ks4VCY1wFebnOdJrM13t6,"Kendrick Lamar, George Clinton, Thundercat",73,0.509,0.787,7,-6.754,1,0.265,0.359,2.76e-05,0.26,0.507,114.449,287360,4
United In Grief,5Gt9bxniM1SxN61yRzRhXL,Kendrick Lamar,77,0.529,0.845,8,-8.142,1,0.404,0.244,0.0,0.143,0.331,85.63,255378,3
Father Time (feat. Sampha),28qA8y1sz0FTuSapsCxNOG,"Kendrick Lamar, Sampha",73,0.514,0.779,10,-4.365,0,0.344,0.181,0.0,0.099,0.517,152.869,222497,4
Rich Spirit,1QPreu0BNOrUfEb8HTd2qG,Kendrick Lamar,77,0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,0.457,95.977,202285,4
The Heart Part 5,5qbhVL3vB7HwWvb0042B7y,Kendrick Lamar,63,0.7,0.812,1,-8.128,0,0.297,0.183,0.0,0.0756,0.801,97.405,332229,4
good kid,5vuJuBqwzHJgCA1ysRfwxZ,Kendrick Lamar,60,0.451,0.831,5,-8.641,0,0.307,0.0623,0.0,0.185,0.41,176.162,214120,4
m.A.A.d city,2cDCojn6uIBM6A5xTAbl3H,"Kendrick Lamar, MC Eiht",68,0.487,0.729,2,-6.815,1,0.271,0.0538,4.07e-06,0.44,0.217,91.048,350120,4
Walkin,1q8DwZtQen5fvyB7cKbShC,Denzel Curry,70,0.557,0.654,11,-7.201,0,0.196,0.134,0.0,0.291,0.386,135.983,280000,4
Me and Your Mama,4AFsRbaLKRWo3dDtjDFA2V,Childish Gambino,83,0.545,0.442,5,-12.111,1,0.0352,0.0104,0.0271,0.0664,0.242,118.073,379227,3
Dela,6kHuBsPj0OFq0cfDtjgwtd,Ana Frango Elétrico,38,0.71,0.787,10,-7.693,0,0.0484,0.27,0.0584,0.0741,0.942,115.087,231714,4
F.I.L.O. (feat. Shing02),43pWChQ7AOab9wlSGy0dN6,"Nujabes, shing02",50,0.875,0.722,4,-6.348,0,0.233,0.393,0.000511,0.0896,0.447,101.02,211227,4
Lady Brown (feat. Cise Starr from CYNE),0JL9TZip7mL7iwC5EOkALS,"Nujabes, Cise Starr",64,0.499,0.874,0,-4.586,1,0.097,0.611,0.000639,0.0703,0.861,97.317,199160,4
Feather (feat. Cise Starr & Akin from CYNE),2ej1A2Ze6P2EOW7KfIosZR,"Nujabes, Cise Starr & Akin from CYNE",68,0.565,0.749,10,-6.629,0,0.0769,0.655,0.432,0.106,0.881,180.598,175360,4
Heart,7emmNrOyCxxMNnvGjcMlfE,"Kenichiro Nishihara, Substantial",24,0.736,0.856,7,-6.294,1,0.0573,0.503,0.287,0.249,0.554,115.013,217053,4
