playlist_id,image_url,name,description,owner,tracks,playlist_uri
3cjYbN4XilLifi50NqfHCE,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8416d286be177580f618647b88,jigsaw,acoustic alien blues,Sarah,49,spotify:playlist:3cjYbN4XilLifi50NqfHCE
5jh29aVeTSx98M4FtwDOFk,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f53a0797a1a3e4a5f6be5d50,야옹,,Sarah,91,spotify:playlist:5jh29aVeTSx98M4FtwDOFk
4KGe5dVE3U57ayOVR0WZ00,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da841eaccf6d36c7f511412051b6,lyric,,Sarah,5,spotify:playlist:4KGe5dVE3U57ayOVR0WZ00
6B68YiiaqNNQRQpNuDgPJA,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da848bbde82fc3e19f8a68eb8a3b,smule,listening now...,Sarah,30,spotify:playlist:6B68YiiaqNNQRQpNuDgPJA
1USR5DWKDIAnssBS2ynBg0,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84619324a633fec8e0a6fde686,jap dump 2,years of accumulation,Sarah,135,spotify:playlist:1USR5DWKDIAnssBS2ynBg0
08PBkNMTE5LTpDjDcaG5Eo,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8405af830c59ae391be9a3faa6,pochette,for floating,Sarah,36,spotify:playlist:08PBkNMTE5LTpDjDcaG5Eo
3IpplWtOOzSjysEj8antMU,https://mosaic.scdn.co/640/ab67616d00001e02063047b406ee33bb43432249ab67616d00001e0247683d1b11d35a22048d243fab67616d00001e02e6715e5e2596173d35880f79ab67616d00001e02fb6c40b91bc46024ef89159f,My recommendation playlist,Playlist created by the tutorial on developer.spotify.com,Sarah,10,spotify:playlist:3IpplWtOOzSjysEj8antMU
1W7ZTOHtVIcA3Js5sEzNZV,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84d9c17cc511aacdb09f1d30a3,tiger talk,(they dont),Sarah,35,spotify:playlist:1W7ZTOHtVIcA3Js5sEzNZV
47M8snIhDSEZHWPK2LJ7MP,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8480bdbe121c4ec0749243fedd,market research,,Sarah,11,spotify:playlist:47M8snIhDSEZHWPK2LJ7MP
4ekzhQpXq310TTRzn5oR7B,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b16de69a7ff56fef6c340836,Stress,,Sarah,19,spotify:playlist:4ekzhQpXq310TTRzn5oR7B
6ZQwyn6EUJ2KzRlxOyPxyQ,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84ffe9797708c002a847add2f6,i forgot,,Sarah,10,spotify:playlist:6ZQwyn6EUJ2KzRlxOyPxyQ
6U7qeNGvO3AomDWh5xjsCN,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da846a5ac3b30a1e2352a8102855,breakfast,,Sarah,19,spotify:playlist:6U7qeNGvO3AomDWh5xjsCN
65JHY8m4iNdB40SFb9sQ9z,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da841014a808e6b89c40fdc77c5e,첫사랑,,Sarah,30,spotify:playlist:65JHY8m4iNdB40SFb9sQ9z
2qFR62LXmiNRi0x7wXsxo0,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a0912c554f3720caed7b7347,love 2,:-),Sarah,52,spotify:playlist:2qFR62LXmiNRi0x7wXsxo0
4mmb4O8bso8D4wraSEl69G,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842d53fa0486565f156319adbd,symph,kinesthetic works,Sarah,41,spotify:playlist:4mmb4O8bso8D4wraSEl69G
05IhH8mCpSmkhPfKqAcCxK,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b1fd5fa2de4bea4819e0d90a,sukima switch,,Sarah,15,spotify:playlist:05IhH8mCpSmkhPfKqAcCxK
4ms64f9o8s3n2lPqCRXzVn,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84458fc8e773d62c894e38f5cb,k.k. tea,Soothing cafe-ish mix,Sarah,53,spotify:playlist:4ms64f9o8s3n2lPqCRXzVn
1ZjT1DCZApRMzTmIJNt56A,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84926900c61aa728b247b99199,grand forks,ଘ(੭*ˊᵕˋ)੭* ੈ♡‧₊˚,Sarah,53,spotify:playlist:1ZjT1DCZApRMzTmIJNt56A
3WN0EcRKtMgOm6NLFm27Sy,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8471e07e4a745f5af1baaeb614,dewy,plop plop,Sarah,11,spotify:playlist:3WN0EcRKtMgOm6NLFm27Sy
30YIHkf6lZHshFEElFZxYx,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84fc1406c4e5f64b9398e637d6,daisy,Seasons changing!,Sarah,61,spotify:playlist:30YIHkf6lZHshFEElFZxYx
51de0wkmyhbz2ogwQ2l2f9,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84dab09edc96d3c4e30966e178,gut,amfads,Sarah,12,spotify:playlist:51de0wkmyhbz2ogwQ2l2f9
0DfwFU1JWrPJ7Sb4cwXFYT,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84561ca5b856b6a2b145573a5b,head hop,,Sarah,25,spotify:playlist:0DfwFU1JWrPJ7Sb4cwXFYT
1QBNuEoJguqtIcj3Z7R4fr,https://i.scdn.co/image/ab67616d00001e02145e8ae9b703f0f570cb34c5,Season,,Sarah,1,spotify:playlist:1QBNuEoJguqtIcj3Z7R4fr
6WOBAYupbzo9MNfJSzlVC4,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a7bab5d425d28be8e774e385,Happy birthday,,Sarah,7,spotify:playlist:6WOBAYupbzo9MNfJSzlVC4
4w5FsTky2GfRt1FLWyjQXF,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f72f9ecfd06ce38300172039,munch,born to eat forced to starve,Sarah,40,spotify:playlist:4w5FsTky2GfRt1FLWyjQXF
6Vpy5oRn07v1DcBBbmFm2L,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84869e7ecf223655eb7de3347d,life OST (2),especially nostalgic songs,Sarah,9,spotify:playlist:6Vpy5oRn07v1DcBBbmFm2L
2qszTBvztspDNT5kuvAA2J,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da841e5effb834465a5151772eb3,;-;,,Sarah,4,spotify:playlist:2qszTBvztspDNT5kuvAA2J
2HhcmELfM7dBBSoK9GCpgR,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a4972c4372ef73214998fcf5,love1funnel,songs i like but get sick of easily,Sarah,27,spotify:playlist:2HhcmELfM7dBBSoK9GCpgR
2p4hHBu28NrX2QU90K0QMr,https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84659247c86252ecfd16e62286,love 4,school,Sarah,28,spotify:playlist:2p4hHBu28NrX2QU90K0QMr
71ocrCUsYJ4lxsa9UhgZQv,https://mosaic.scdn.co/640/ab67616d00001e021968692c849583bf523aad13ab67616d00001e028f28f2ea1e8648f0845d5165ab67616d00001e02c015939624dac823657fd3e5ab67616d00001e02db665b797473c486a6127271,dinner,belly drum,Sarah,4,spotify:playlist:71ocrCUsYJ4lxsa9UhgZQv
77Ptrx6ZDiRnaZ9sMI3UWo,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da847b05e84f0a8e7e7cc6e12c9a,ㅠ,Nostalgia,Sarah,13,spotify:playlist:77Ptrx6ZDiRnaZ9sMI3UWo
6JNLsSOyKEKOFl2CBjL40g,https://i.scdn.co/image/ab67616d00001e02404c42c88f33617818cee490,Small death,,Sarah,5,spotify:playlist:6JNLsSOyKEKOFl2CBjL40g
5Pesk7SOClspyStNE3AqV6,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da848068d56f23f4a2033e0c1372,webtunes,bato.to.to.to,Sarah,21,spotify:playlist:5Pesk7SOClspyStNE3AqV6
5fwYtl4VVLpOkYA9rrZVz2,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84f2d3c9f9b30b65ae0e92f1f6,cs (applied)math,lifestyle playlist to relax&#x2F;study to,Sarah,26,spotify:playlist:5fwYtl4VVLpOkYA9rrZVz2
4yUwJUJdfki1bEErsD3CgD,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8436afc702e3731a5d1f22690a,life OST,A warm playlist,Sarah,34,spotify:playlist:4yUwJUJdfki1bEErsD3CgD
5rnyOwOwF75EE5936Axypf,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84b3684c60ec67f4c52daf1631,55,,Sarah,16,spotify:playlist:5rnyOwOwF75EE5936Axypf
0KPQsJjz3sR3fY6Tv0h01R,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8421dba1c0f0d643c8df58e76b,fujii,all his songs are lovely but these are my favorites,Sarah,8,spotify:playlist:0KPQsJjz3sR3fY6Tv0h01R
2WKsYzHaUK9RSCyly1r2kJ,https://i.scdn.co/image/ab67616d00001e02791941dc9b9634b73a48ad6a,In the End… Bromidic Love story,Bromidic - dull and tiresome but with pretensions of significance or originality,Sarah,9,spotify:playlist:2WKsYzHaUK9RSCyly1r2kJ
7x5S3D4B3gUcF8tOAkq0tU,https://i.scdn.co/image/ab67616d00001e02f9ea8f7c1f73c4d467c632ea,layton favs,,Sarah,9,spotify:playlist:7x5S3D4B3gUcF8tOAkq0tU
1fXe8F8hYY62fLCHr8fgna,https://mosaic.scdn.co/640/ab67616d00001e0215b183f34e853a82c3eed21dab67616d00001e0257296cc7c31517482fd471edab67616d00001e028a41d791c25b18608cab857fab67616d00001e02d5df30b611ba46931c2b1d93,noise pop post-rock tuesday early morning,,Sarah,50,spotify:playlist:1fXe8F8hYY62fLCHr8fgna
0Qs7sfZU977ySrfdGJcvTq,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84c747fc2962907a1c1815ac8b,thinking,,Sarah,10,spotify:playlist:0Qs7sfZU977ySrfdGJcvTq
0Jden7ELt7ub2jvv3W43SC,https://mosaic.scdn.co/640/ab67616d00001e0264cb0ff821ec3a6f05c21fe6ab67616d00001e02b009599842dfe933b871f21eab67616d00001e02bcce81de734bafbde8f6e228ab67616d00001e02e0777b8af7f18cfb5a3dabd7,deemo,,Sarah,29,spotify:playlist:0Jden7ELt7ub2jvv3W43SC
3DxfAg6ipU3dDXfjg8NUIV,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8477139cd2a2a6ac8bc7148109,Rain,,Sarah,24,spotify:playlist:3DxfAg6ipU3dDXfjg8NUIV
3MGgg3ingDndEepBGVl9D7,https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da847234332b45ad94939e788de1,bewhy,,Sarah,14,spotify:playlist:3MGgg3ingDndEepBGVl9D7
7eTMAFkqv1UVHF18TJGLvE,https://mosaic.scdn.co/640/ab67616d00001e02101232ffd5af0e3c37e2c528ab67616d00001e025b956c9f8b6f17910d7d0fdbab67616d00001e025e6a9cd045fa8da9ba2fe81aab67616d00001e0272c2145d48f68917a7361b15,vampire mallgoth late night,"You listened to symphony and orchestra in the late night. Here’s some: vampire, mallgoth, emo rock, post-grunge, nu metal, and requiem",Sarah,50,spotify:playlist:7eTMAFkqv1UVHF18TJGLvE
344Tdcprw6knvOiRnUL50C,https://mosaic.scdn.co/640/ab67616d00001e0266daf96fd3f1a920cd2053e6ab67616d00001e027c97017ead038f8e053c8cbbab67616d00001e0292740e70d602c53eb733dc91ab67616d00001e02d9a6c94ffd4ebd4856b9a6c4,k-rap hip hop monday afternoon,"You listened to k-rap and joyful on Monday afternoons. Here’s some: k-rap, groovy, unique, hip pop, joyful, and uk garage",Sarah,50,spotify:playlist:344Tdcprw6knvOiRnUL50C
7avOTWL2EDcPh0jcal9OUx,https://mosaic.scdn.co/640/ab67616d00001e0270622da427271b0203d7ce79ab67616d00001e029b2d66452d8b91dfa9f7798fab67616d00001e02ac4ebd092fa2cf210e4c8023ab67616d00001e02e54caeb0ef1eaff16a3bed00,yearning delicate sunday afternoon,,Sarah,50,spotify:playlist:7avOTWL2EDcPh0jcal9OUx
